"","Marca temporal","Edad, en años cumplidos","Sexo","¿En cuál sede de la UCAB estudias?","¿En cuál escuela estudias?","¿Cuál semestre cursas actualmente?","¿Cuánto temor te produce el coronavirus?","¿Cuántas medidas de prevención has adoptado en tu vida diaria para evitar contagiarte?","Describelas brevemente (opcional)","3- ¿Cómo te sientes en cuarentena?","Cuando termine la cuarentena tu crees que...","A continuación encontraras una lista de las actividades que las personas están haciendo en cuarentena, marca todas las que apliquen a tu caso."
"1",2020-04-06 12:51:01,19,"Mujer","Caracas","Psicología",3,3,5,"No he salido de mi casa desde que comenzó la cuarentena","Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy pasando tiempo en familia"
"2",2020-04-06 12:54:33,19,"Mujer","Caracas","Psicología",3,4,5,"Tapabocas, guantes, quedarme en casa totalmente","Regular, pero no hay más remedio","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy practicando danza, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia"
"3",2020-04-06 12:54:42,19,"Hombre","Caracas","Psicología",3,2,5,"El lavado de manos constante, limpieza de superficies, distanciamiento social y quién sale del hpgar y cuantas veces por semana se sale.","Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando), Dormir mucho"
"4",2020-04-06 12:56:35,22,"Hombre","Caracas","Psicología",9,3,5,"no salir, en caso de que tenga que salir: limpiar la ropa apenas llego a la casa y lavar todo lo que haya traído de afuera, incluyendo mis manos.","Regular, pero no hay más remedio","Nada va a cambiar","Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy practicando con un instrumento musical, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"5",2020-04-06 12:59:43,19,"Mujer","Caracas","Psicología",3,1,5,NA,"Regular, pero no hay más remedio","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy practicando con un instrumento musical, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"6",2020-04-06 13:03:27,19,"Mujer","Caracas","Psicología",3,4,5,NA,"Regular, pero no hay más remedio","Nada va a cambiar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"7",2020-04-06 13:04:38,20,"Hombre","Caracas","Psicología",3,3,4,"Evitar salir a toda costa, lavarme las manos constantemente durante 40 segundos, utilizar gel antibacterial repetidas veces durante el día, lavar la ropa cada 3 días.","Regular, pero no hay más remedio","Las cosas van a estar mal","Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy conectado con mis amigos en linea (jugando o conversando)"
"8",2020-04-06 13:12:12,19,"Mujer","Caracas","Psicología",3,1,5,"Higiene","Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy haciendo rutinas de ejercicios, Estoy escribiendo, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy practicando con un instrumento musical, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"9",2020-04-06 13:13:01,20,"Mujer","Caracas","Psicología",3,3,5,NA,"Mal, necesito que esto termine pronto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy haciendo rutinas de ejercicios, Estoy practicando con un instrumento musical, Estoy conectado con mis amigos en linea (jugando o conversando)"
"10",2020-04-06 13:16:14,19,"Mujer","Caracas","Psicología",4,3,5,NA,"Mal, necesito que esto termine pronto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy practicando con un instrumento musical, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"11",2020-04-06 13:28:37,18,"Mujer","Caracas","Psicología",3,5,5,"En mi casa no salimos  a menos que sea para comprar víveres y esto solo una vez a la semana, salen dos personas a comprar y siempre son los mismos. Utilizamos mascarilla y guantes al salir de la casa, llevando con nosotros alcohol al 70% en spray. Al volver, seguimos los pasos del protocolo de seguridad para entrar a la casa. También, entre otras cosas, limpiamos las superficies de mi casa bastante y evitamos a toda costa recibir visitas (No sé por qué la gente con gripe aún tiene ganas de visitar.)","De maravilla, me encanta estar aislado","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy haciendo cursos en línea, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy practicando meditación/yoga, Estoy escribiendo, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"12",2020-04-06 13:30:01,19,"Mujer","Caracas","Psicología",4,5,5,NA,"Mal, necesito que esto termine pronto","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"13",2020-04-06 13:49:15,18,"Mujer","Caracas","Psicología",2,4,3,"Cuarentena voluntaria, uso de máscaras al salir, lavado de manos de 20 segundos con frecuencia","Regular, pero no hay más remedio","Las cosas van a estar mucho peor","Estoy adelantando mis estudios, Estoy conectado más tiempo en redes sociales, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando), Dormir"
"14",2020-04-06 13:54:45,20,"Mujer","Caracas","Psicología",3,3,4,"Usar tapabocas y guantes, evitar lo más posible salir a menos que sea necesario y no tener mucho contacto físico con personas desconocidas o de sospecha de infección, lavado de manos frecuente y toma de bebidas calientes de forma regular.","De maravilla, me encanta estar aislado","Las cosas van a estar mal","Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy haciendo manualidades (orfebreria, papercraft, escultura, pintura), Estoy aprendiendo algo nuevo (cocina, hobby), Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"15",2020-04-06 14:34:48,20,"Hombre","Caracas","Psicología",3,5,5,NA,"Bien, tampoco es para tanto","Las cosas van a mejorar","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy viendo más television, Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
"16",2020-04-06 14:55:29,18,"Mujer","Caracas","Psicología",NA,3,4,NA,"Bien, tampoco es para tanto","Las cosas van a estar mal","Estoy adelantando mis estudios, Estoy leyendo más de lo habitual (libros, revistas), Estoy conectado más tiempo en redes sociales, Estoy escribiendo, Estoy aprendiendo algo nuevo (cocina, hobby), Estoy conectado con mis amigos en linea (jugando o conversando)"
"17",2020-04-06 14:59:24,20,"Mujer","Caracas","Psicología",4,4,4,NA,"Regular, pero no hay más remedio","Las cosas van a estar mucho peor","Estoy viendo más television, Estoy haciendo rutinas de ejercicios, Estoy conectado más tiempo en redes sociales, Estoy jugando videojuegos, Estoy pasando tiempo en familia, Estoy conectado con mis amigos en linea (jugando o conversando)"
